CPU,CPU,コンピュータの頭脳に当たる部分で、制御装置と演算装置から構成される。,10,2,0
制御装置,せいぎょそうち,コンピュータを構成する装置の一つで、記憶装置から命令を取り出し解読し、各装置に指示を与える役割を担う。,2,2,0
演算装置,えんざんそうち,コンピュータを構成する装置の一つで、データの四則演算や論理演算などを行う。,0,2,0
記憶装置,きおくそうち,コンピュータを構成する装置の一つで、データやプログラムを記憶する役割を担う。,1,2,0
入力装置,にゅうりょくそうち,コンピュータを構成する装置の一つで、外部からプログラムやデータを読み込む役割を担う。,4,2,0
出力装置,しゅつりょくそうち,コンピュータを構成する装置の一つで、内部で処理されたデータを外部へ書き出す役割を担う。,2,2,0
ハードウェア,はーどうぇあ,物理的に存在し、手で触れるような機械。,5,5,0
ソフトウェア,そふとうぇあ,物理的に存在しない、手で触れることができないデータや信号。,2,4,0
プログラム内蔵方式,ぷろぐらむないぞうほうしき,コンピュータの設計方針の一つで、CPUがあらかじめ主記憶に記憶されたプログラムを順に読み出しながら実行する方式のこと。,5,2,0
レジスタ,れじすた,CPUの中に用意されている記憶装置。高速でアクセスできる。,8,2,0
クロック周波数,くろっくしゅうはすう,「高」「低」を繰り返す電圧のサイクルが1秒間に何回繰り返されるかを表したもの。単位にGHz(ギガヘルツ)などがよく使用される。,1,2,0
実行アドレス,じっこうあどれす,CPUの命令実行時に処理対象となるデータが実際に格納されている主記憶装置上のアドレス。,2,1,0
パイプライン制御,ぱいぷらいんせいぎょ,CPUが命令を実行する時に、命令の読み出しから実行までを複数のステージに細分化し、複数の命令を並行して実行することによって処理効率を向上させる方式。,5,2,0
マルチコアプロセッサ,まるちこあぷろせっさ,一つのCPU内に複数のコアを備えているプロセッサ。シングルコアと比較して、消費電力を抑えつつ、プロセッサ全体の処理性能を高めることができる。,6,2,0
RAM,RAM,読み書き可能な記憶装置。電源を切ると記憶していた内容が消えてしまう「揮発性」という性質を持つ。,13,2,0
DRAM,DRAM,RAMの一種。コンデンサで構成され、主に主記憶装置に用いられる。メモリセル構造が単純なので高集積化することができ、ビット単価を安くできる。ただし、内容を維持するためにリフレッシュ動作(再書込み)が必要になる。,10,2,0
SRAM,SRAM,RAMの一種。フリップフロップ回路で構成され、主にキャッシュメモリに用いられる。記憶内容を保持し続けるためのリフレッシュ動作(再書込み)が不要。ただし、構造が複雑で集積度が低いため、ビット単価は高価になる。,13,2,0
ROM,ROM,読み出し専用の記憶装置。電源を切っても記憶していた内容が消えない「不揮発性」という性質を持つ。,13,2,0
フラッシュメモリ,ふらっしゅめもり,電圧をかけて全消去、ブロック単位での消去ができる半導体メモリ。,5,2,0
キャッシュメモリ,きゃっしゅめもり,CPUから主記憶装置へのアクセス速度の遅さをカバーするために用意するROM。主記憶装置から読み出したデータを保存しておき、後で同じデータを読み出す際に高速なキャッシュメモリから読み出すことで、データ転送の高速化が行える。キャッシュメモリと主記憶の両方を書き換える方式(ライトスルー方式)とキャッシュメモリだけを書き換えておき、主記憶の書き換えは後で行う方式(ライトバック方式)とがある。,1,2,0
ディスクキャッシュ,でぃすくきゃっしゅ,主記憶装置へのアクセス時間と磁気ディスクのアクセス時間とのギャップを補うために両者間に配置するもの。,3,2,0
メモリインタリープ,めもりいんたりーぶ,主記憶装置を幾つかの単位に分割し、並列動作させることでアクセス時間の高速化を図る方法。,6,2,0
